segment_id,drainage_distance_min_m,road_distance_min_m,road_density_m_per_sqkm,road_cut_exposure_proxy,self_distance_zero_prevented,status
NH44_SEG_054,200.0,0.0,5000.0,,True,PASS
NH44_SEG_055,210.0,0.0,5000.0,,True,PASS
NH44_SEG_056,220.0,0.0,5000.0,,True,PASS
NH44_SEG_057,230.0,0.0,5000.0,,True,PASS
NH44_SEG_058,240.0,0.0,5000.0,,True,PASS
NH44_SEG_059,250.0,0.0,5000.0,,True,PASS
NH44_SEG_060,260.0,0.0,5000.0,,True,PASS
NH44_SEG_061,120.0,0.0,5000.0,,True,PASS
NH44_SEG_062,130.0,0.0,5000.0,,True,PASS
NH44_SEG_063,140.0,0.0,5000.0,,True,PASS
NH44_SEG_064,150.0,0.0,5000.0,,True,PASS
NH44_SEG_065,160.0,0.0,5000.0,,True,PASS
NH44_SEG_066,170.0,0.0,5000.0,,True,PASS
NH44_SEG_067,180.0,0.0,5000.0,,True,PASS
NH44_SEG_068,190.0,0.0,5000.0,,True,PASS
NH44_SEG_069,200.0,0.0,5000.0,,True,PASS
NH44_SEG_070,210.0,0.0,5000.0,,True,PASS
NH44_SEG_071,220.0,0.0,5000.0,,True,PASS
NH44_SEG_072,230.0,0.0,5000.0,,True,PASS
NH44_SEG_073,240.0,0.0,5000.0,,True,PASS
NH44_SEG_074,250.0,0.0,5000.0,,True,PASS
NH44_SEG_075,260.0,0.0,5000.0,,True,PASS
NH44_SEG_076,120.0,0.0,5000.0,,True,PASS
NH44_SEG_077,130.0,0.0,5000.0,,True,PASS
NH44_SEG_078,140.0,0.0,5000.0,,True,PASS
NH44_SEG_079,150.0,0.0,5000.0,,True,PASS
NH44_SEG_080,160.0,0.0,5000.0,,True,PASS
NH44_SEG_081,170.0,0.0,5000.0,,True,PASS
NH44_SEG_082,180.0,0.0,5000.0,,True,PASS
NH44_SEG_083,190.0,0.0,5000.0,,True,PASS
NH44_SEG_084,200.0,0.0,5000.0,,True,PASS
NH44_SEG_085,210.0,0.0,5000.0,,True,PASS
NH44_SEG_086,220.0,0.0,5000.0,,True,PASS
NH44_SEG_087,230.0,0.0,5000.0,,True,PASS
NH44_SEG_088,240.0,0.0,5000.0,,True,PASS
NH44_SEG_089,250.0,0.0,5000.0,,True,PASS
NH44_SEG_090,260.0,0.0,5000.0,,True,PASS
NH44_SEG_091,120.0,0.0,5000.0,,True,PASS
NH44_SEG_092,130.0,0.0,5000.0,,True,PASS
NH44_SEG_093,140.0,0.0,5000.0,,True,PASS
NH44_SEG_094,150.0,0.0,5000.0,,True,PASS
NH44_SEG_095,160.0,0.0,5000.0,,True,PASS
NH44_SEG_096,170.0,0.0,5000.0,,True,PASS
NH44_SEG_097,180.0,0.0,5000.0,,True,PASS
NH44_SEG_098,190.0,0.0,5000.0,,True,PASS
NH44_SEG_099,200.0,0.0,5000.0,,True,PASS
NH44_SEG_100,210.0,0.0,5000.0,,True,PASS
NH44_SEG_101,220.0,0.0,5000.0,,True,PASS
NH44_SEG_102,230.0,0.0,5000.0,,True,PASS
NH44_SEG_103,240.0,0.0,5000.0,,True,PASS
NH44_SEG_104,250.0,0.0,5000.0,,True,PASS
NH44_SEG_105,260.0,0.0,5000.0,,True,PASS
NH44_SEG_106,120.0,0.0,5000.0,,True,PASS
NH44_SEG_107,130.0,0.0,5000.0,,True,PASS
NH44_SEG_108,140.0,0.0,5000.0,,True,PASS
NH44_SEG_109,150.0,0.0,5000.0,,True,PASS
NH44_SEG_110,160.0,0.0,5000.0,,True,PASS
NH44_SEG_111,170.0,0.0,5000.0,,True,PASS
NH44_SEG_112,180.0,0.0,5000.0,,True,PASS
NH44_SEG_113,190.0,0.0,5000.0,,True,PASS
NH44_SEG_114,200.0,0.0,5000.0,,True,PASS
NH44_SEG_115,210.0,0.0,5000.0,,True,PASS
NH44_SEG_116,220.0,0.0,5000.0,,True,PASS
NH44_SEG_117,230.0,0.0,5000.0,,True,PASS
NH44_SEG_118,240.0,0.0,5000.0,,True,PASS
NH44_SEG_119,250.0,0.0,5000.0,,True,PASS
NH44_SEG_120,260.0,0.0,5000.0,,True,PASS
NH44_SEG_121,120.0,0.0,5000.0,,True,PASS
NH44_SEG_122,130.0,0.0,5000.0,,True,PASS
NH44_SEG_123,140.0,0.0,5000.0,,True,PASS
NH44_SEG_124,150.0,0.0,5000.0,,True,PASS
NH44_SEG_125,160.0,0.0,5000.0,,True,PASS
NH44_SEG_126,170.0,0.0,5000.0,,True,PASS
NH44_SEG_127,180.0,0.0,5000.0,,True,PASS
NH44_SEG_128,190.0,0.0,5000.0,,True,PASS
NH44_SEG_129,200.0,0.0,5000.0,,True,PASS
NH44_SEG_130,210.0,0.0,5000.0,,True,PASS
NH44_SEG_131,220.0,0.0,5000.0,,True,PASS
NH44_SEG_132,230.0,0.0,5000.0,,True,PASS
NH44_SEG_133,240.0,0.0,5000.0,,True,PASS
NH44_SEG_134,250.0,0.0,5000.0,,True,PASS
NH44_SEG_135,260.0,0.0,5000.0,,True,PASS
NH44_SEG_136,120.0,0.0,5000.0,,True,PASS
NH44_SEG_137,130.0,0.0,5000.0,,True,PASS
NH44_SEG_138,140.0,0.0,5000.0,,True,PASS
NH44_SEG_139,150.0,0.0,5000.0,,True,PASS
NH44_SEG_140,160.0,0.0,5000.0,,True,PASS
NH44_SEG_141,170.0,0.0,5000.0,,True,PASS
NH44_SEG_142,180.0,0.0,5000.0,,True,PASS
NH44_SEG_143,190.0,0.0,5000.0,,True,PASS
NH44_SEG_144,200.0,0.0,5000.0,,True,PASS
NH44_SEG_145,210.0,0.0,5000.0,,True,PASS
NH44_SEG_146,220.0,0.0,5000.0,,True,PASS
NH44_SEG_147,230.0,0.0,5000.0,,True,PASS
NH44_SEG_148,240.0,0.0,5000.0,,True,PASS
NH44_SEG_149,250.0,0.0,5000.0,,True,PASS
NH44_SEG_150,260.0,0.0,5000.0,,True,PASS
NH44_SEG_151,120.0,0.0,5000.0,,True,PASS
NH44_SEG_152,130.0,0.0,5000.0,,True,PASS
NH44_SEG_153,140.0,0.0,5000.0,,True,PASS
NH44_SEG_154,150.0,0.0,5000.0,,True,PASS
NH44_SEG_155,160.0,0.0,5000.0,,True,PASS
NH44_SEG_156,170.0,0.0,5000.0,,True,PASS
NH44_SEG_157,180.0,0.0,5000.0,,True,PASS
NH44_SEG_158,190.0,0.0,5000.0,,True,PASS
