segment_id,segment_index,chainage_mid_m,structure_dominant_type,score_method_a,score_method_b,score_method_c,score_method_d,score_method_e,score_method_f,flag_method_g_epsilon_dominance,score_method_h1,score_method_h2,score_method_h3,score_method_h4,score_method_h5,rank_method_a,rank_method_b,rank_method_c,rank_method_d,rank_method_e,rank_method_f,rank_method_h1,rank_method_h2,rank_method_h3,rank_method_h4,rank_method_h5
NH44_SEG_015,14,7250.0,Open Road,60.36,58.19,253.5,91.14,70.65,59.16,False,58.28,58.28,66.5,56.3,56.22,15,15,15,15,15,15,15,15,15,15,15
NH44_SEG_016,15,7750.0,Open Road,60.21,58.09,254.5,90.51,70.34,59.05,False,58.15,58.15,66.25,56.2,56.12,16,16,16,16,16,16,16,16,16,16,16
NH44_SEG_017,16,8250.0,Open Road,60.05,57.99,255.5,89.87,70.02,58.94,False,58.02,58.02,66.0,56.11,56.03,17,17,17,17,17,17,17,17,17,17,17
NH44_SEG_018,17,8750.0,Open Road,59.89,57.88,256.5,89.24,69.7,58.83,False,57.9,57.9,65.74,56.01,55.93,18,18,18,18,18,18,18,18,18,18,18
NH44_SEG_019,18,9250.0,Open Road,59.73,57.78,257.5,88.61,69.38,58.72,False,57.77,57.77,65.49,55.92,55.84,19,19,19,19,19,19,19,19,19,19,19
NH44_SEG_020,19,9750.0,Open Road,59.57,57.68,258.5,87.97,69.06,58.61,False,57.64,57.64,65.24,55.82,55.74,20,20,20,20,20,20,20,20,20,20,20
NH44_SEG_021,20,10250.0,Open Road,59.42,57.57,259.5,87.34,68.75,58.5,False,57.52,57.52,64.98,55.73,55.65,21,21,21,21,21,21,21,21,21,21,21
NH44_SEG_022,21,10750.0,Open Road,59.26,57.47,260.5,86.71,68.44,58.38,False,57.39,57.39,64.73,55.63,55.55,22,22,22,22,22,22,22,22,22,22,22
NH44_SEG_023,22,11250.0,Open Road,59.1,57.36,261.5,86.08,68.12,58.27,False,57.26,57.26,64.48,55.54,55.46,23,23,23,23,23,23,23,23,23,23,23
NH44_SEG_024,23,11750.0,Open Road,58.94,57.26,262.5,85.44,67.8,58.15,False,57.14,57.14,64.22,55.44,55.36,24,24,24,24,24,24,24,24,24,24,24
NH44_SEG_025,24,12250.0,Open Road,58.78,57.15,263.5,84.81,67.48,58.03,False,57.01,57.01,63.97,55.35,55.27,25,25,25,25,25,25,25,25,25,25,25
NH44_SEG_026,25,12750.0,Open Road,58.62,57.05,264.5,84.18,67.17,57.91,False,56.88,56.88,63.72,55.26,55.18,26,26,26,26,26,26,26,26,26,26,26
NH44_SEG_027,26,13250.0,Open Road,58.46,56.94,265.5,83.54,66.85,57.79,False,56.76,56.76,63.46,55.16,55.08,27,27,27,27,27,27,27,27,27,27,27
NH44_SEG_028,27,13750.0,Open Road,58.31,56.83,266.5,82.91,66.54,57.67,False,56.63,56.63,63.21,55.06,54.98,28,28,28,28,28,28,28,28,28,28,28
NH44_SEG_029,28,14250.0,Open Road,58.15,56.72,267.5,82.28,66.22,57.55,False,56.5,56.5,62.96,54.97,54.89,29,29,29,29,29,29,29,29,29,29,29
NH44_SEG_030,29,14750.0,Open Road,57.99,56.61,268.5,81.65,65.9,57.42,False,56.38,56.38,62.71,54.88,54.8,30,30,30,30,30,30,30,30,30,30,30
NH44_SEG_031,30,15250.0,Open Road,57.83,56.5,269.5,81.01,65.59,57.29,False,56.25,56.25,62.45,54.78,54.7,31,31,31,31,31,31,31,31,31,31,31
NH44_SEG_032,31,15750.0,Open Road,57.68,56.39,270.5,80.38,65.27,57.17,False,56.12,56.12,62.2,54.68,54.6,32,32,32,32,32,32,32,32,32,32,32
NH44_SEG_033,32,16250.0,Tunnel,57.52,56.28,271.5,79.75,64.96,57.04,False,56.0,56.0,61.95,54.59,54.51,33,33,33,33,33,33,33,33,33,33,33
NH44_SEG_034,33,16750.0,Tunnel,57.36,56.17,272.5,79.11,64.63,56.91,False,55.87,55.87,61.69,54.49,54.41,34,34,34,34,34,34,34,34,34,34,34
NH44_SEG_035,34,17250.0,Tunnel,57.2,56.05,273.5,78.48,64.32,56.78,False,55.74,55.74,61.44,54.4,54.32,35,35,35,35,35,35,35,35,35,35,35
NH44_SEG_036,35,17750.0,Tunnel,57.04,55.94,274.5,77.85,64.0,56.65,False,55.62,55.62,61.19,54.31,54.23,36,36,36,36,36,36,36,36,36,36,36
NH44_SEG_037,36,18250.0,Tunnel,56.88,55.83,275.5,77.22,63.69,56.51,False,55.49,55.49,60.94,54.21,54.13,37,37,37,37,37,37,37,37,37,37,37
NH44_SEG_038,37,18750.0,Tunnel,56.72,55.71,276.5,76.58,63.37,56.38,False,55.36,55.36,60.68,54.12,54.04,38,38,38,38,38,38,38,38,38,38,38
NH44_SEG_039,38,19250.0,Tunnel,56.57,55.6,277.5,75.95,63.06,56.25,False,55.24,55.24,60.43,54.02,53.94,39,39,39,39,39,39,39,39,39,39,39
NH44_SEG_040,39,19750.0,Tunnel,56.41,55.48,278.5,75.32,62.74,56.11,False,55.11,55.11,60.18,53.93,53.85,40,40,40,40,40,40,40,40,40,40,40
NH44_SEG_041,40,20250.0,Tunnel,56.25,55.36,279.5,74.68,62.42,55.97,False,54.98,54.98,59.92,53.83,53.75,41,41,41,41,41,41,41,41,41,41,41
NH44_SEG_042,41,20750.0,Tunnel,56.09,55.25,280.5,74.05,62.1,55.83,False,54.86,54.86,59.67,53.74,53.66,42,42,42,42,42,42,42,42,42,42,42
NH44_SEG_043,42,21250.0,Tunnel,55.94,55.13,281.5,73.42,61.79,55.7,False,54.73,54.73,59.42,53.64,53.56,43,43,43,43,43,43,43,43,43,43,43
NH44_SEG_044,43,21750.0,Tunnel,55.78,55.01,282.5,72.78,61.47,55.55,False,54.6,54.6,59.16,53.54,53.46,44,44,44,44,44,44,44,44,44,44,44
NH44_SEG_045,44,22250.0,Tunnel,55.62,54.89,283.5,72.15,61.16,55.41,False,54.48,54.48,58.91,53.45,53.37,45,45,45,45,45,45,45,45,45,45,45
NH44_SEG_046,45,22750.0,Tunnel,55.46,54.77,284.5,71.52,60.84,55.27,False,54.35,54.35,58.66,53.36,53.28,46,46,46,46,46,46,46,46,46,46,46
NH44_SEG_047,46,23250.0,Tunnel,55.3,54.65,285.5,70.89,60.52,55.13,False,54.23,54.23,58.4,53.26,53.18,47,47,47,47,47,47,47,47,47,47,47
NH44_SEG_048,47,23750.0,Tunnel,53.88,53.51,294.5,65.19,57.68,53.81,False,53.09,53.09,56.12,52.41,52.33,56,56,56,56,56,56,56,56,56,56,56
NH44_SEG_049,48,24250.0,Open Road,52.77,52.58,301.5,60.76,55.46,52.74,False,52.2,52.2,54.35,51.74,51.66,63,63,63,63,63,63,63,63,63,63,63
NH44_SEG_050,49,24750.0,Open Road,51.98,51.88,306.5,57.59,53.88,51.96,False,51.57,51.57,53.08,51.27,51.19,68,68,68,68,68,68,68,68,68,68,68
NH44_SEG_051,50,25250.0,Open Road,51.66,51.59,308.5,56.33,53.24,51.65,False,51.31,51.31,52.58,51.08,51.0,70,70,70,70,70,70,70,70,70,70,70
NH44_SEG_052,51,25750.0,Open Road,52.3,52.16,304.5,58.86,54.51,52.28,False,51.82,51.82,53.59,51.46,51.38,66,66,66,66,66,66,66,66,66,66,66
NH44_SEG_053,52,26250.0,Open Road,52.93,52.72,300.5,61.39,55.78,52.9,False,52.33,52.33,54.6,51.84,51.76,62,62,62,62,62,62,62,62,62,62,62
NH44_SEG_054,53,26750.0,Open Road,53.72,53.38,295.5,64.56,57.36,53.66,False,52.96,52.96,55.87,52.31,52.23,57,57,57,57,57,57,57,57,57,57,57
NH44_SEG_055,54,27250.0,Open Road,54.04,53.64,293.5,65.82,57.99,53.96,False,53.21,53.21,56.38,52.5,52.42,55,55,55,55,55,55,55,55,55,55,55
NH44_SEG_056,55,27750.0,Open Road,53.56,53.25,296.5,63.92,57.04,53.5,False,52.83,52.83,55.62,52.22,52.14,58,58,58,58,58,58,58,58,58,58,58
NH44_SEG_057,56,28250.0,Bridge,52.45,52.3,303.5,59.49,54.82,52.43,False,51.95,51.95,53.84,51.55,51.47,65,65,65,65,65,65,65,65,65,65,65
NH44_SEG_058,57,28750.0,Open Road,52.61,52.44,302.5,60.13,55.14,52.59,False,52.07,52.07,54.1,51.65,51.57,64,64,64,64,64,64,64,64,64,64,64
NH44_SEG_059,58,29250.0,Open Road,53.24,52.99,298.5,62.66,56.41,53.2,False,52.58,52.58,55.11,52.03,51.95,60,60,60,60,60,60,60,60,60,60,60
NH44_SEG_060,59,29750.0,Open Road,53.4,53.12,297.5,63.29,56.72,53.35,False,52.71,52.71,55.36,52.12,52.04,59,59,59,59,59,59,59,59,59,59,59
NH44_SEG_061,60,30250.0,Open Road,54.35,53.9,291.5,67.09,58.62,54.26,False,53.47,53.47,56.88,52.69,52.61,53,53,53,53,53,53,53,53,53,53,53
NH44_SEG_062,61,30750.0,Open Road,54.67,54.15,289.5,68.35,59.26,54.55,False,53.72,53.72,57.39,52.88,52.8,51,51,51,51,51,51,51,51,51,51,51
NH44_SEG_063,62,31250.0,Open Road,54.98,54.4,287.5,69.62,59.89,54.84,False,53.97,53.97,57.9,53.07,52.99,49,49,49,49,49,49,49,49,49,49,49
NH44_SEG_064,63,31750.0,Open Road,55.14,54.52,286.5,70.25,60.2,54.98,False,54.1,54.1,58.15,53.17,53.09,48,48,48,48,48,48,48,48,48,48,48
NH44_SEG_065,64,32250.0,Open Road,54.83,54.28,288.5,68.99,59.58,54.7,False,53.85,53.85,57.64,52.98,52.9,50,50,50,50,50,50,50,50,50,50,50
NH44_SEG_066,65,32750.0,Open Road,54.51,54.03,290.5,67.72,58.94,54.4,False,53.59,53.59,57.14,52.79,52.71,52,52,52,52,52,52,52,52,52,52,52
NH44_SEG_067,66,33250.0,Open Road,54.19,53.77,292.5,66.46,58.31,54.11,False,53.34,53.34,56.63,52.6,52.52,54,54,54,54,54,54,54,54,54,54,54
NH44_SEG_068,67,33750.0,Open Road,53.09,52.85,299.5,62.03,56.1,53.05,False,52.45,52.45,54.86,51.93,51.85,61,61,61,61,61,61,61,61,61,61,61
NH44_SEG_069,68,34250.0,Open Road,52.14,52.02,305.5,58.23,54.19,52.12,False,51.69,51.69,53.34,51.36,51.28,67,67,67,67,67,67,67,67,67,67,67
NH44_SEG_070,69,34750.0,Open Road,51.82,51.74,307.5,56.96,53.56,51.81,False,51.44,51.44,52.83,51.17,51.09,69,69,69,69,69,69,69,69,69,69,69
NH44_SEG_071,70,35250.0,Open Road,51.34,51.3,310.5,55.06,52.61,51.34,False,51.06,51.06,52.07,50.89,50.81,72,72,72,72,72,72,72,72,72,72,72
NH44_SEG_072,71,35750.0,Open Road,51.5,51.45,309.5,55.7,52.93,51.5,False,51.19,51.19,52.33,50.98,50.9,71,71,71,71,71,71,71,71,71,71,71
NH44_SEG_073,72,36250.0,Open Road,51.19,51.15,311.5,54.43,52.3,51.18,False,50.93,50.93,51.82,50.79,50.71,73,73,73,73,73,73,73,73,73,73,73
NH44_SEG_074,73,36750.0,Open Road,51.03,51.01,312.5,53.8,51.98,51.02,False,50.81,50.81,51.57,50.7,50.62,74,74,74,74,74,74,74,74,74,74,74
NH44_SEG_075,74,37250.0,Open Road,50.87,50.85,313.5,53.16,51.66,50.86,False,50.68,50.68,51.31,50.6,50.52,75,75,75,75,75,75,75,75,75,75,75
NH44_SEG_076,75,37750.0,Open Road,50.71,50.7,314.5,52.53,51.34,50.71,False,50.55,50.55,51.06,50.51,50.43,76,76,76,76,76,76,76,76,76,76,76
NH44_SEG_077,76,38250.0,Open Road,50.56,50.55,315.5,51.9,51.03,50.55,False,50.43,50.43,50.81,50.41,50.33,77,77,77,77,77,77,77,77,77,77,77
NH44_SEG_078,77,38750.0,Open Road,50.4,50.39,316.5,51.27,50.72,50.39,False,50.3,50.3,50.56,50.32,50.24,78,78,78,78,78,78,78,78,78,78,78
NH44_SEG_079,78,39250.0,Open Road,50.24,50.24,317.5,50.63,50.4,50.23,False,50.17,50.17,50.3,50.22,50.14,79,79,79,79,79,79,79,79,79,79,79
NH44_SEG_080,79,39750.0,Open Road,48.5,48.41,328.5,50.32,50.16,48.5,False,48.78,48.78,47.52,49.18,49.1,90,90,90,119,119,90,90,90,90,90,90
NH44_SEG_081,80,40250.0,Open Road,47.39,47.14,335.5,50.32,50.16,47.41,False,47.9,47.9,45.74,48.51,48.43,97,97,97,119,119,97,97,97,97,97,97
NH44_SEG_082,81,40750.0,Open Road,47.86,47.7,332.5,50.32,50.16,47.87,False,48.28,48.28,46.5,48.8,48.72,94,94,94,119,119,94,94,94,94,94,94
NH44_SEG_083,82,41250.0,Open Road,48.97,48.93,325.5,50.32,50.16,48.97,False,49.16,49.16,48.28,49.46,49.38,87,87,87,119,119,87,87,87,87,87,87
NH44_SEG_084,83,41750.0,Open Road,49.29,49.27,323.5,50.32,50.16,49.29,False,49.42,49.42,48.78,49.65,49.57,85,85,85,119,119,85,85,85,85,85,85
NH44_SEG_085,84,42250.0,Open Road,49.92,49.92,319.5,50.32,50.16,49.92,False,49.92,49.92,49.8,50.03,49.95,81,81,81,119,119,81,81,81,81,81,81
NH44_SEG_086,85,42750.0,Bridge,50.08,50.08,318.5,50.32,50.16,50.08,False,50.05,50.05,50.05,50.13,50.05,80,80,80,119,119,80,80,80,80,80,80
NH44_SEG_087,86,43250.0,Open Road,49.45,49.43,322.5,50.32,50.16,49.44,False,49.54,49.54,49.04,49.75,49.67,84,84,84,119,119,84,84,84,84,84,84
NH44_SEG_088,87,43750.0,Open Road,48.82,48.76,326.5,50.32,50.16,48.81,False,49.04,49.04,48.02,49.37,49.29,88,88,88,119,119,88,88,88,88,88,88
NH44_SEG_089,88,44250.0,Open Road,48.66,48.59,327.5,50.32,50.16,48.65,False,48.91,48.91,47.77,49.27,49.19,89,89,89,119,119,89,89,89,89,89,89
NH44_SEG_090,89,44750.0,Open Road,49.13,49.1,324.5,50.32,50.16,49.13,False,49.29,49.29,48.53,49.56,49.48,86,86,86,119,119,86,86,86,86,86,86
NH44_SEG_091,90,45250.0,Open Road,49.76,49.76,320.5,50.32,50.16,49.76,False,49.79,49.79,49.54,49.94,49.86,82,82,82,119,119,82,82,82,82,82,82
NH44_SEG_092,91,45750.0,Open Road,49.6,49.6,321.5,50.32,50.16,49.6,False,49.67,49.67,49.29,49.84,49.76,83,83,83,119,119,83,83,83,83,83,83
NH44_SEG_093,92,46250.0,Open Road,48.18,48.06,330.5,50.32,50.16,48.19,False,48.53,48.53,47.01,48.99,48.91,92,92,92,119,119,92,92,92,92,92,92
NH44_SEG_094,93,46750.0,Open Road,48.02,47.88,331.5,50.32,50.16,48.03,False,48.4,48.4,46.76,48.89,48.81,93,93,93,119,119,93,93,93,93,93,93
NH44_SEG_095,94,47250.0,Open Road,47.55,47.32,334.5,50.32,50.16,47.56,False,48.02,48.02,46.0,48.61,48.53,96,96,96,119,119,96,96,96,96,96,96
NH44_SEG_096,95,47750.0,Open Road,47.71,47.51,333.5,50.32,50.16,47.72,False,48.15,48.15,46.25,48.7,48.62,95,95,95,119,119,95,95,95,95,95,95
NH44_SEG_097,96,48250.0,Open Road,48.34,48.24,329.5,50.32,50.16,48.34,False,48.66,48.66,47.26,49.08,49.0,91,91,91,119,119,91,91,91,91,91,91
NH44_SEG_098,97,48750.0,Open Road,47.23,46.95,336.5,50.32,50.16,47.25,False,47.77,47.77,45.49,48.42,48.34,98,98,98,119,119,98,98,98,98,98,98
NH44_SEG_099,98,49250.0,Open Road,47.07,46.75,337.5,50.32,50.16,47.1,False,47.64,47.64,45.24,48.32,48.24,99,99,99,119,119,99,99,99,99,99,99
NH44_SEG_100,99,49750.0,Open Road,46.92,46.55,338.5,50.32,50.16,46.95,False,47.52,47.52,44.98,48.23,48.15,100,100,100,119,119,100,100,100,100,100,100
NH44_SEG_101,100,50250.0,Open Road,46.76,46.36,339.5,50.32,50.16,46.8,False,47.39,47.39,44.73,48.13,48.05,101,101,101,119,119,101,101,101,101,101,101
NH44_SEG_102,101,50750.0,Open Road,46.6,46.16,340.5,50.32,50.16,46.64,False,47.26,47.26,44.48,48.04,47.96,102,102,102,119,119,102,102,102,102,102,102
NH44_SEG_103,102,51250.0,Open Road,46.44,45.95,341.5,50.32,50.16,46.49,False,47.14,47.14,44.22,47.94,47.86,103,103,103,119,119,103,103,103,103,103,103
NH44_SEG_104,103,51750.0,Open Road,46.28,45.75,342.5,50.32,50.16,46.34,False,47.01,47.01,43.97,47.85,47.77,104,104,104,119,119,104,104,104,104,104,104
NH44_SEG_105,104,52250.0,Open Road,46.12,45.54,343.5,50.32,50.16,46.19,False,46.88,46.88,43.72,47.76,47.68,105,105,105,119,119,105,105,105,105,105,105
NH44_SEG_106,105,52750.0,Open Road,45.96,45.32,344.5,50.32,50.16,46.04,False,46.76,46.76,43.46,47.66,47.58,106,106,106,119,119,106,106,106,106,106,106
NH44_SEG_107,106,53250.0,Open Road,45.81,45.11,345.5,50.32,50.16,45.89,False,46.63,46.63,43.21,47.56,47.48,107,107,107,119,119,107,107,107,107,107,107
NH44_SEG_108,107,53750.0,Open Road,45.65,44.89,346.5,50.32,50.16,45.75,False,46.5,46.5,42.96,47.47,47.39,108,108,108,119,119,108,108,108,108,108,108
NH44_SEG_109,108,54250.0,Open Road,45.49,44.67,347.5,50.32,50.16,45.6,False,46.38,46.38,42.71,47.38,47.3,109,109,109,119,119,109,109,109,109,109,109
NH44_SEG_110,109,54750.0,Open Road,45.33,44.44,348.5,50.32,50.16,45.45,False,46.25,46.25,42.45,47.28,47.2,110,110,110,119,119,110,110,110,110,110,110
NH44_SEG_111,110,55250.0,Open Road,44.54,43.26,353.5,50.32,50.16,44.73,False,45.62,45.62,41.19,46.81,46.73,115,115,115,119,119,115,115,115,115,115,115
NH44_SEG_112,111,55750.0,Open Road,43.91,42.25,357.5,50.32,50.16,44.18,False,45.11,45.11,40.18,46.43,46.35,119,119,119,119,119,119,119,119,119,119,119
NH44_SEG_113,112,56250.0,Open Road,44.07,42.51,356.5,50.32,50.16,44.31,False,45.24,45.24,40.43,46.52,46.44,118,118,118,119,119,118,118,118,118,118,118
NH44_SEG_114,113,56750.0,Open Road,44.38,43.02,354.5,50.32,50.16,44.59,False,45.49,45.49,40.94,46.71,46.63,116,116,116,119,119,116,116,116,116,116,116
NH44_SEG_115,114,57250.0,Open Road,44.86,43.75,351.5,50.32,50.16,45.02,False,45.87,45.87,41.69,46.99,46.91,113,113,113,119,119,113,113,113,113,113,113
NH44_SEG_116,115,57750.0,Open Road,45.02,43.98,350.5,50.32,50.16,45.16,False,46.0,46.0,41.95,47.09,47.01,112,112,112,119,119,112,112,112,112,112,112
NH44_SEG_117,116,58250.0,Open Road,45.18,44.21,349.5,50.32,50.16,45.31,False,46.12,46.12,42.2,47.18,47.1,111,111,111,119,119,111,111,111,111,111,111
NH44_SEG_118,117,58750.0,Open Road,44.7,43.51,352.5,50.32,50.16,44.88,False,45.74,45.74,41.44,46.9,46.82,114,114,114,119,119,114,114,114,114,114,114
NH44_SEG_119,118,59250.0,Open Road,44.22,42.76,355.5,50.32,50.16,44.45,False,45.36,45.36,40.68,46.61,46.54,117,117,117,119,119,117,117,117,117,117,117
NH44_SEG_120,119,59750.0,Open Road,43.12,40.86,362.5,50.32,50.16,43.5,False,44.48,44.48,38.91,45.95,45.87,124,124,124,119,119,124,124,124,124,124,124
NH44_SEG_121,120,60250.0,Open Road,41.85,38.29,370.5,50.32,50.16,42.48,False,43.47,43.47,36.88,45.19,45.11,132,132,132,119,119,132,132,132,132,132,132
NH44_SEG_122,121,60750.0,Open Road,40.9,35.96,376.5,50.32,50.16,41.76,False,42.71,42.71,35.36,44.62,44.54,138,138,138,119,119,138,138,138,138,138,138
NH44_SEG_123,122,61250.0,Open Road,40.27,34.11,380.5,50.32,50.16,41.31,False,42.2,42.2,34.35,44.24,44.16,142,142,142,119,119,142,142,142,142,142,142
NH44_SEG_124,123,61750.0,Open Road,39.95,33.05,382.5,50.32,50.16,41.09,False,41.95,41.95,33.84,44.05,43.97,144,144,144,119,119,144,144,144,144,144,144
NH44_SEG_125,124,62250.0,Open Road,39.48,31.26,385.5,50.32,50.16,40.77,False,41.57,41.57,33.08,43.77,43.69,147,147,147,119,119,147,147,147,147,147,147
NH44_SEG_126,125,62750.0,Open Road,39.32,30.59,386.5,50.32,50.16,40.67,False,41.44,41.44,32.83,43.67,43.59,148,148,148,119,119,148,148,148,148,148,148
NH44_SEG_127,126,63250.0,Open Road,38.84,28.25,389.5,50.32,50.16,40.37,False,41.06,41.06,32.07,43.39,43.31,151,151,151,119,119,151,151,151,151,151,151
NH44_SEG_128,127,63750.0,Open Road,39.16,29.87,387.5,50.32,50.16,40.57,False,41.31,41.31,32.58,43.58,43.5,149,149,149,119,119,149,149,149,149,149,149
NH44_SEG_129,128,64250.0,Open Road,39.8,32.49,383.5,50.32,50.16,40.98,False,41.82,41.82,33.59,43.96,43.88,145,145,145,119,119,145,145,145,145,145,145
NH44_SEG_130,129,64750.0,Open Road,40.43,34.6,379.5,50.32,50.16,41.42,False,42.33,42.33,34.6,44.34,44.26,141,141,141,119,119,141,141,141,141,141,141
NH44_SEG_131,130,65250.0,Open Road,40.74,35.52,377.5,50.32,50.16,41.65,False,42.58,42.58,35.11,44.53,44.45,139,139,139,119,119,139,139,139,139,139,139
NH44_SEG_132,131,65750.0,Open Road,41.7,37.93,371.5,50.32,50.16,42.36,False,43.34,43.34,36.63,45.1,45.02,133,133,133,119,119,133,133,133,133,133,133
NH44_SEG_133,132,66250.0,Open Road,42.33,39.31,367.5,50.32,50.16,42.85,False,43.85,43.85,37.64,45.48,45.4,129,129,129,119,119,129,129,129,129,129,129
NH44_SEG_134,133,66750.0,Open Road,43.44,41.43,360.5,50.32,50.16,43.77,False,44.73,44.73,39.42,46.14,46.06,122,122,122,119,119,122,122,122,122,122,122
NH44_SEG_135,134,67250.0,Open Road,43.75,41.98,358.5,50.32,50.16,44.04,False,44.98,44.98,39.92,46.33,46.25,120,120,120,119,119,120,120,120,120,120,120
NH44_SEG_136,135,67750.0,Open Road,43.28,41.14,361.5,50.32,50.16,43.63,False,44.6,44.6,39.16,46.04,45.96,123,123,123,119,119,123,123,123,123,123,123
NH44_SEG_137,136,68250.0,Open Road,43.59,41.71,359.5,50.32,50.16,43.9,False,44.86,44.86,39.67,46.24,46.16,121,121,121,119,119,121,121,121,121,121,121
NH44_SEG_138,137,68750.0,Open Road,42.96,40.56,363.5,50.32,50.16,43.37,False,44.35,44.35,38.66,45.86,45.78,125,125,125,119,119,125,125,125,125,125,125
NH44_SEG_139,138,69250.0,Open Road,42.01,38.64,369.5,50.32,50.16,42.6,False,43.59,43.59,37.14,45.29,45.21,131,131,131,119,119,131,131,131,131,131,131
NH44_SEG_140,139,69750.0,Open Road,41.22,36.79,374.5,50.32,50.16,41.99,False,42.96,42.96,35.87,44.81,44.73,136,136,136,119,119,136,136,136,136,136,136
NH44_SEG_141,140,70250.0,Open Road,41.06,36.38,375.5,50.32,50.16,41.88,False,42.83,42.83,35.62,44.72,44.64,137,137,137,119,119,137,137,137,137,137,137
NH44_SEG_142,141,70750.0,Open Road,41.38,37.18,373.5,50.32,50.16,42.11,False,43.09,43.09,36.12,44.91,44.83,135,135,135,119,119,135,135,135,135,135,135
NH44_SEG_143,142,71250.0,Open Road,42.48,39.64,366.5,50.32,50.16,42.98,False,43.97,43.97,37.9,45.57,45.49,128,128,128,119,119,128,128,128,128,128,128
NH44_SEG_144,143,71750.0,Open Road,42.8,40.26,364.5,50.32,50.16,43.24,False,44.23,44.23,38.4,45.76,45.68,126,126,126,119,119,126,126,126,126,126,126
NH44_SEG_145,144,72250.0,Open Road,42.64,39.95,365.5,50.32,50.16,43.11,False,44.1,44.1,38.15,45.67,45.59,127,127,127,119,119,127,127,127,127,127,127
NH44_SEG_146,145,72750.0,Open Road,42.17,38.98,368.5,50.32,50.16,42.72,False,43.72,43.72,37.39,45.38,45.3,130,130,130,119,119,130,130,130,130,130,130
NH44_SEG_147,146,73250.0,Open Road,41.54,37.56,372.5,50.32,50.16,42.23,False,43.21,43.21,36.38,45.0,44.92,134,134,134,119,119,134,134,134,134,134,134
NH44_SEG_148,147,73750.0,Open Road,40.59,35.07,378.5,50.32,50.16,41.53,False,42.45,42.45,34.86,44.43,44.35,140,140,140,119,119,140,140,140,140,140,140
NH44_SEG_149,148,74250.0,Open Road,40.11,33.6,381.5,50.32,50.16,41.2,False,42.07,42.07,34.1,44.15,44.07,143,143,143,119,119,143,143,143,143,143,143
NH44_SEG_150,149,74750.0,Open Road,39.64,31.9,384.5,50.32,50.16,40.88,False,41.69,41.69,33.34,43.86,43.78,146,146,146,119,119,146,146,146,146,146,146
NH44_SEG_151,150,75250.0,Tunnel,39.01,29.1,388.5,50.32,50.16,40.47,False,41.19,41.19,32.33,43.48,43.4,150,150,150,119,119,150,150,150,150,150,150
