,segment_index,chainage_start_m,chainage_end_m,chainage_mid_m,length_m,start_longitude,start_latitude,end_longitude,end_latitude,midpoint_longitude,midpoint_latitude,analysis_buffer_m,landcover_builtup_fraction,landcover_cropland_fraction,landcover_forest_fraction,landcover_grassland_fraction,landcover_bareground_fraction,landcover_water_fraction,landcover_snow_ice_fraction,geology_lithological_diversity_count,geology_overlap_pct,fault_distance_nearest_m,fault_intersection_count,fault_density_100m_m_per_sqkm,fault_density_250m_m_per_sqkm,fault_distance_active_m,fault_active_intersection_count,drainage_distance_min_m,drainage_distance_mean_m,drainage_intersection_count,drainage_density_100m_m_per_sqkm,road_distance_min_m,road_intersection_count,road_density_m_per_sqkm,structure_open_road_length_m,structure_tunnel_length_m,structure_bridge_length_m,structure_open_road_fraction,structure_tunnel_fraction,structure_bridge_fraction,valid_coverage_pct
drainage_intersection_count,-0.013574708970396893,-0.013574708970396894,-0.01353355506011662,-0.013554136249996882,0.03294179100649712,-0.00979543587387287,-0.013915730344684197,-0.00740570737297591,-0.013759529395797967,-0.008298354804101914,-0.013933719320822583,,,,,,,,,0.023449017960183467,,-0.017484507557166372,,,,-0.017484507557166382,,0.03779052655864842,0.037790526558648396,1.0,1.0,,,,-0.01219390468334631,-0.017713365539452484,0.11379152648258196,-0.01773977995806777,-0.017713365539452484,0.11379152648258195,
drainage_density_100m_m_per_sqkm,-0.013574708970396504,-0.0135747089703965,-0.013533555060116229,-0.013554136249996487,0.032941791006497106,-0.009795435873873168,-0.013915730344683854,-0.007405707372976194,-0.01375952939579761,-0.008298354804102185,-0.013933719320822225,,,,,,,,,0.023449017960183432,,-0.01748450755716604,,,,-0.017484507557166035,,0.03779052655864837,0.037790526558648375,1.0,1.0,,,,-0.0121939046833463,-0.01771336553945248,0.11379152648258192,-0.01773977995806775,-0.017713365539452505,0.11379152648258198,
road_distance_min_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
road_intersection_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
road_density_m_per_sqkm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structure_open_road_length_m,0.022159475807948154,0.022159475807948154,0.02233531115349788,0.022247392617207797,0.12978936785186188,-0.24329934675533216,0.012365318843633516,-0.24438601846322167,0.009523289172247349,-0.24318222897762976,0.011041940265435887,,,,,,,,,0.19169918653820883,,-0.02985449616002012,,,,-0.029854496160020273,,0.08556863606868419,0.08556863606868412,-0.01219390468334631,-0.0121939046833463,,,,1.0,-0.9391413945026927,-0.2576241952957978,0.9864569420520793,-0.9391413945026925,-0.2576241952957977,
structure_tunnel_length_m,-0.040330657085961834,-0.04033065708596184,-0.040294345688218776,-0.04031251121797825,0.032941791006497155,0.24631694172780472,-0.033762299946642295,0.251225409193524,-0.03017774657004912,0.24820195994943603,-0.03198062955361944,,,,,,,,,-0.20404759488159666,,0.008400802769070155,,,,0.008400802769070273,,-0.120434244332652,-0.12043424433265201,-0.017713365539452484,-0.01771336553945248,,,,-0.9391413945026927,1.0,-0.04673580551963182,-0.952034857749636,1.0,-0.04673580551963188,
structure_bridge_length_m,-0.019860259568120493,-0.01986025956812049,-0.01985189078443692,-0.01985607971297378,0.009036554505347,0.06556141389543642,-0.01112677279078995,0.053886223294296196,-0.01238902854139611,0.05932189703732853,-0.012031389850062243,,,,,,,,,0.03763581341138423,,0.012650887152018822,,,,0.01265088715201886,,0.09660362540675124,0.09660362540675128,0.11379152648258196,0.11379152648258192,,,,-0.2576241952957978,-0.04673580551963182,1.0,-0.261161115415615,-0.04673580551963189,0.9999999999999994,
structure_open_road_fraction,0.04505725814267926,0.04505725814267927,0.045019605018998925,0.045038442470629186,-0.03460145470341597,-0.2581117204304255,0.0360346391650845,-0.25927862894267156,0.03295736143986964,-0.25802199426436545,0.03459002609550415,,,,,,,,,0.18565286754139382,,-0.011993399948023089,,,,-0.011993399948023202,,0.08678973362851468,0.08678973362851466,-0.01773977995806777,-0.01773977995806775,,,,0.9864569420520793,-0.952034857749636,-0.261161115415615,1.0,-0.9520348577496363,-0.261161115415615,
structure_tunnel_fraction,-0.04033065708596182,-0.04033065708596183,-0.04029434568821877,-0.04031251121797824,0.032941791006497134,0.2463169417278046,-0.03376229994664209,0.25122540919352393,-0.030177746570049103,0.24820195994943595,-0.031980629553619244,,,,,,,,,-0.20404759488159654,,0.008400802769070154,,,,0.008400802769070239,,-0.12043424433265201,-0.12043424433265204,-0.017713365539452484,-0.017713365539452505,,,,-0.9391413945026925,1.0,-0.04673580551963189,-0.9520348577496363,1.0,-0.04673580551963186,
structure_bridge_fraction,-0.019860259568120483,-0.019860259568120486,-0.019851890784436912,-0.019856079712973776,0.009036554505346997,0.0655614138954364,-0.011126772790789913,0.053886223294296175,-0.012389028541396086,0.059321897037328486,-0.012031389850062208,,,,,,,,,0.037635813411384215,,0.012650887152018836,,,,0.012650887152018847,,0.09660362540675128,0.09660362540675126,0.11379152648258195,0.11379152648258198,,,,-0.2576241952957977,-0.04673580551963188,0.9999999999999994,-0.261161115415615,-0.04673580551963186,1.0,
valid_coverage_pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
