segment_id,chainage_range_m,consensus_rank,consensus_percentile,consensus_priority_band,rank_interval_width_90,top_10_pct_probability,method_agreement_category,principal_elevated_components,structure_context,interpretation_limitation,epsilon_dominance_status,human_readable_explanation,disclaimer_notice
NH44_SEG_011,5000.0m - 5500.0m,11,93.67,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_012,5500.0m - 6000.0m,12,93.04,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_013,6000.0m - 6500.0m,13,92.41,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_014,6500.0m - 7000.0m,14,91.77,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_015,7000.0m - 7500.0m,15,91.14,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_016,7500.0m - 8000.0m,16,90.51,VERY_HIGH,0.0,1.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_017,8000.0m - 8500.0m,17,89.87,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_018,8500.0m - 9000.0m,18,89.24,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_019,9000.0m - 9500.0m,19,88.61,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_020,9500.0m - 10000.0m,20,87.97,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_021,10000.0m - 10500.0m,21,87.34,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_022,10500.0m - 11000.0m,22,86.71,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_023,11000.0m - 11500.0m,23,86.08,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_024,11500.0m - 12000.0m,24,85.44,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_025,12000.0m - 12500.0m,25,84.81,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_026,12500.0m - 13000.0m,26,84.18,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_027,13000.0m - 13500.0m,27,83.54,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_028,13500.0m - 14000.0m,28,82.91,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_029,14000.0m - 14500.0m,29,82.28,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_030,14500.0m - 15000.0m,30,81.65,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_031,15000.0m - 15500.0m,31,81.01,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_032,15500.0m - 16000.0m,32,80.38,VERY_HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the VERY_HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_033,16000.0m - 16500.0m,33,79.75,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_034,16500.0m - 17000.0m,34,79.11,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_035,17000.0m - 17500.0m,35,78.48,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_036,17500.0m - 18000.0m,36,77.85,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_037,18000.0m - 18500.0m,37,77.22,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_038,18500.0m - 19000.0m,38,76.58,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_039,19000.0m - 19500.0m,39,75.95,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_040,19500.0m - 20000.0m,40,75.32,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_041,20000.0m - 20500.0m,41,74.68,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_042,20500.0m - 21000.0m,42,74.05,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_043,21000.0m - 21500.0m,43,73.42,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_044,21500.0m - 22000.0m,44,72.78,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_045,22000.0m - 22500.0m,45,72.15,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_046,22500.0m - 23000.0m,46,71.52,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_047,23000.0m - 23500.0m,47,70.89,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_048,23500.0m - 24000.0m,56,65.19,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_049,24000.0m - 24500.0m,63,60.76,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_050,24500.0m - 25000.0m,68,57.59,MODERATE,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the MODERATE static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_051,25000.0m - 25500.0m,70,56.33,MODERATE,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the MODERATE static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_052,25500.0m - 26000.0m,66,58.86,MODERATE,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the MODERATE static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_053,26000.0m - 26500.0m,62,61.39,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_054,26500.0m - 27000.0m,57,64.56,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_055,27000.0m - 27500.0m,55,65.82,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_056,27500.0m - 28000.0m,58,63.92,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_057,28000.0m - 28500.0m,65,59.49,MODERATE,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Bridge,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the MODERATE static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_058,28500.0m - 29000.0m,64,60.13,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_059,29000.0m - 29500.0m,60,62.66,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_060,29500.0m - 30000.0m,59,63.29,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_061,30000.0m - 30500.0m,53,67.09,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
NH44_SEG_062,30500.0m - 31000.0m,51,68.35,HIGH,0.0,0.0,VERY_STABLE,Slope severity & Geological fault proximity,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,NON_MEMBER,This segment is placed in the HIGH static research priority band along the pilot corridor. Rank interval width under weight perturbation is 0 positions.,"Bands show relative analytical priority within Udhampur-Banihal pilot corridor. They are not absolute hazard classes, operational alerts, safety certifications or road-closure recommendations."
