segment_id,native_gpm_cell_id,assignment_method,verification_status
NH44_SEG_128,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_129,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_130,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_131,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_132,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_133,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_134,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_135,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_136,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_137,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_138,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_139,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_140,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_141,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_142,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_143,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_144,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_145,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_146,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_147,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_148,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_149,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_150,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_151,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_152,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_153,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_154,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_155,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_156,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_157,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
NH44_SEG_158,GPM_NATIVE_33.25N_75.25E,Point-in-BBox Intersection,VERIFIED_EXACT
