segment_id,elevation_coverage_pct,slope_coverage_pct,aspect_coverage_pct,hillshade_coverage_pct,susceptibility_coverage_pct,landcover_coverage_pct,geology_coverage_pct,overall_coverage_flag
NH44_SEG_047,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_048,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_049,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_050,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_051,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_052,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_053,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_054,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_055,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_056,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_057,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_058,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_059,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_060,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_061,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_062,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_063,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_064,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_065,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_066,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_067,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_068,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_069,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_070,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_071,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_072,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_073,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_074,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_075,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_076,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_077,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_078,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_079,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_080,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_081,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_082,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_083,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_084,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_085,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_086,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_087,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_088,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_089,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_090,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_091,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_092,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_093,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_094,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_095,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_096,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_097,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_098,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_099,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_103,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_104,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_105,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_106,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_107,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_108,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_109,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_110,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_111,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_112,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_113,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_114,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_115,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_116,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_117,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_118,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_119,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_120,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_121,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_122,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_123,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_124,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_125,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_126,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_127,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_128,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_129,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_130,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_131,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_132,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_133,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_134,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_135,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_136,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_137,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_138,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_139,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_140,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_142,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_143,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_144,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_145,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_146,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_147,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_148,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_149,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_150,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_151,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_152,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_153,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_154,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_155,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_156,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_157,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
NH44_SEG_158,100.0,100.0,100.0,100.0,100.0,100.0,100.0,COMPLETE
