segment_id,structure_dominant_type,interpretation_flag,applicability_guideline
NH44_SEG_085,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_086,Bridge,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_087,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_088,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_089,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_090,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_091,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_092,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_093,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_094,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_095,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_096,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_097,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_098,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_099,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_100,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_101,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_102,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_103,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_104,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_105,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_106,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_107,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_108,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_109,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_110,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_111,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_112,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_113,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_114,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_115,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_116,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_117,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_118,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_119,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_120,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_121,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_122,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_123,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_124,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_125,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_126,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_127,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_128,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_129,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_130,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_131,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_132,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_133,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_134,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_135,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_136,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_137,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_138,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_139,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_140,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_141,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_142,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_143,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_144,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_145,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_146,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_147,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_148,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_149,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_150,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_151,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_152,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_153,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_154,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_155,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_156,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_157,Tunnel,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
NH44_SEG_158,Open Road,DIRECT_SURFACE_ROAD_EXPOSURE,Direct road surface cut slope exposure.
