feature_name,category,source_dataset,output_path,unit,dtype,resampling_method,model_role,missing_data_rule,transformation,diagnostic_only,validation_only,exposure_only,leakage_status,notes
flow_direction,A_terrain,WhiteboxTools D8,data/processed/features/terrain/terrain_flow_direction_100m.tif,D8 code,uint8,nearest,diagnostic_only,NoData=255,none,True,False,False,clean,"D8 direction codes (1,2,4,8,16,32,64,128)"
flow_accumulation,A_terrain,WhiteboxTools D8,data/processed/features/terrain/terrain_flow_accumulation_100m.tif,30m cells,float32,bilinear,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,Upslope catchment in 30m source cells
contributing_area_km2,A_terrain,Derived from flow_accumulation,data/processed/features/terrain/terrain_contributing_area_km2_100m.tif,km2,float32,scaling,susceptibility_predictor,NoData=-9999,fac * 0.0009,False,False,False,clean,Upstream contributing area in km2
log_contributing_area,A_terrain,Derived from contributing_area_km2,data/processed/features/terrain/terrain_log_contributing_area_100m.tif,unitless,float32,log1p,susceptibility_predictor,NoData=-9999,log1p(area),False,False,False,clean,Log1p upstream contributing area
drainage_network,A_terrain,Thresholded accumulation,data/processed/features/terrain/terrain_drainage_network_100m.tif,binary,uint8,thresholding,diagnostic_only,NoData=255,fac >= 500,True,False,False,clean,Binary stream network (0.45 km2)
distance_to_drainage,A_terrain,Derived from drainage_network,data/processed/features/terrain/terrain_distance_to_drainage_100m.tif,m,float32,distance_transform,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,Euclidean distance to stream channel
drainage_density,A_terrain,Derived from drainage_network,data/processed/features/terrain/terrain_drainage_density_100m.tif,km/km2,float32,moving_window_sum,susceptibility_predictor,NoData=-9999,stream len / area,False,False,False,clean,Stream density in 500m window
twi,A_terrain,Derived from flow_acc & slope,data/processed/features/terrain/terrain_twi_100m.tif,unitless,float32,formula,susceptibility_predictor,NoData=-9999,ln(a/tan(b)),False,False,False,clean,Topographic Wetness Index
lithology_class,B_geology,GSI 50K Lithology,data/processed/features/geology/lithology_class_100m.tif,code,uint8,rasterize_mode,susceptibility_predictor,NoData=255,categorical_code,False,False,False,clean,Lithology units rasterized to 100m
distance_to_fault_m,B_geology,GSI Faults,data/processed/features/geology/distance_to_fault_m_100m.tif,m,float32,distance_transform,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,Euclidean distance to fault line
log1p_distance_to_fault,B_geology,Derived from distance_to_fault,data/processed/features/geology/log1p_distance_to_fault_100m.tif,unitless,float32,log1p,susceptibility_predictor,NoData=-9999,log1p(dist),False,False,False,clean,Log1p distance to fault
distance_to_active_fault_m,B_geology,GSI Active Faults,data/processed/features/geology/distance_to_active_fault_m_100m.tif,m,float32,distance_transform,susceptibility_predictor,NoData=-9999,none,False,False,False,conditional,Euclidean distance to active fault (sparse)
log1p_distance_to_active_fault,B_geology,Derived from active_fault,data/processed/features/geology/log1p_distance_to_active_fault_100m.tif,unitless,float32,log1p,susceptibility_predictor,NoData=-9999,log1p(dist),False,False,False,conditional,Log1p distance to active fault
distance_to_thrust_m,B_geology,GSI Thrusts,data/processed/features/geology/distance_to_thrust_m_100m.tif,m,float32,distance_transform,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,Euclidean distance to thrust line
log1p_distance_to_thrust,B_geology,Derived from distance_to_thrust,data/processed/features/geology/log1p_distance_to_thrust_100m.tif,unitless,float32,log1p,susceptibility_predictor,NoData=-9999,log1p(dist),False,False,False,clean,Log1p distance to thrust
distance_to_lineament_m,B_geology,GSI Lineaments,data/processed/features/geology/distance_to_lineament_m_100m.tif,m,float32,distance_transform,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,Euclidean distance to lineament
log1p_distance_to_lineament,B_geology,Derived from lineaments,data/processed/features/geology/log1p_distance_to_lineament_100m.tif,unitless,float32,log1p,susceptibility_predictor,NoData=-9999,log1p(dist),False,False,False,clean,Log1p distance to lineament
fault_density,B_geology,Derived from faults,data/processed/features/geology/fault_density_100m.tif,km/km2,float32,moving_window_sum,susceptibility_predictor,NoData=-9999,line len / area,False,False,False,clean,Fault length density in 2500m window
active_fault_density,B_geology,Derived from active faults,data/processed/features/geology/active_fault_density_100m.tif,km/km2,float32,moving_window_sum,susceptibility_predictor,NoData=-9999,line len / area,False,False,False,conditional,Active fault density in 2500m window
thrust_density,B_geology,Derived from thrusts,data/processed/features/geology/thrust_density_100m.tif,km/km2,float32,moving_window_sum,susceptibility_predictor,NoData=-9999,line len / area,False,False,False,clean,Thrust length density in 2500m window
lineament_density,B_geology,Derived from lineaments,data/processed/features/geology/lineament_density_100m.tif,km/km2,float32,moving_window_sum,susceptibility_predictor,NoData=-9999,line len / area,False,False,False,clean,Lineament length density in 2500m window
landcover_worldcover_dominant_class,C_landcover,ESA WorldCover 2021,data/processed/features/landcover/landcover_worldcover_dominant_class_100m.tif,class code,uint8,majority,diagnostic_only,NoData=255,mode,True,False,False,clean,Dominant WorldCover class (majority)
tree_cover_fraction,C_landcover,WorldCover Class 10,data/processed/features/landcover/landcover_fraction_tree_cover_100m.tif,fraction,float32,pixel_count_fraction,susceptibility_predictor,NoData=-9999,class_10_count / 100,False,False,False,clean,"Tree cover fraction [0, 1]"
shrubland_fraction,C_landcover,WorldCover Class 20,data/processed/features/landcover/landcover_fraction_shrubland_100m.tif,fraction,float32,pixel_count_fraction,susceptibility_predictor,NoData=-9999,class_20_count / 100,False,False,False,clean,"Shrubland fraction [0, 1]"
grassland_fraction,C_landcover,WorldCover Class 30,data/processed/features/landcover/landcover_fraction_grassland_100m.tif,fraction,float32,pixel_count_fraction,susceptibility_predictor,NoData=-9999,class_30_count / 100,False,False,False,clean,"Grassland fraction [0, 1]"
cropland_fraction,C_landcover,WorldCover Class 40,data/processed/features/landcover/landcover_fraction_cropland_100m.tif,fraction,float32,pixel_count_fraction,susceptibility_predictor,NoData=-9999,class_40_count / 100,False,False,False,clean,"Cropland fraction [0, 1]"
builtup_fraction,C_landcover,WorldCover Class 50,data/processed/features/landcover/landcover_fraction_builtup_100m.tif,fraction,float32,pixel_count_fraction,susceptibility_predictor,NoData=-9999,class_50_count / 100,False,False,False,clean,"Built-up fraction [0, 1]"
bare_sparse_fraction,C_landcover,WorldCover Class 60,data/processed/features/landcover/landcover_fraction_bare_sparse_100m.tif,fraction,float32,pixel_count_fraction,susceptibility_predictor,NoData=-9999,class_60_count / 100,False,False,False,clean,"Bare/sparse vegetation fraction [0, 1]"
snow_ice_fraction,C_landcover,WorldCover Class 70,data/processed/features/landcover/landcover_fraction_snow_ice_100m.tif,fraction,float32,pixel_count_fraction,susceptibility_predictor,NoData=-9999,class_70_count / 100,False,False,False,clean,"Snow and ice fraction [0, 1]"
water_fraction,C_landcover,WorldCover Class 80,data/processed/features/landcover/landcover_fraction_water_100m.tif,fraction,float32,pixel_count_fraction,susceptibility_predictor,NoData=-9999,class_80_count / 100,False,False,False,clean,"Permanent water fraction [0, 1]"
wetland_fraction,C_landcover,WorldCover Class 90,data/processed/features/landcover/landcover_fraction_wetland_100m.tif,fraction,float32,pixel_count_fraction,susceptibility_predictor,NoData=-9999,class_90_count / 100,False,False,False,clean,"Herbaceous wetland fraction [0, 1]"
moss_lichen_fraction,C_landcover,WorldCover Class 100,data/processed/features/landcover/landcover_fraction_moss_lichen_100m.tif,fraction,float32,pixel_count_fraction,susceptibility_predictor,NoData=-9999,class_100_count / 100,False,False,False,clean,"Moss and lichen fraction [0, 1]"
vegetation_fraction,C_landcover,Derived from WorldCover,data/processed/features/landcover/landcover_vegetation_fraction_100m.tif,fraction,float32,sum,susceptibility_predictor,NoData=-9999,tree+shrub+grass+crop,False,False,False,clean,Total vegetation cover fraction
shannon_diversity,C_landcover,Derived from WorldCover,data/processed/features/landcover/landcover_shannon_diversity_100m.tif,index,float32,entropy,susceptibility_predictor,NoData=-9999,-sum(p * ln(p)),False,False,False,clean,Land cover Shannon diversity index
dominant_class_confidence,C_landcover,Derived from WorldCover,data/processed/features/landcover/landcover_dominant_class_confidence_100m.tif,fraction,float32,max_fraction,diagnostic_only,NoData=-9999,max(p_i),True,False,False,clean,Fraction of dominant land cover class
distance_to_major_road_m,D_human,Exposure GPKG Roads,data/processed/features/infrastructure/distance_to_major_road_m_100m.tif,m,float32,distance_transform,susceptibility_predictor,NoData=-9999,none,False,False,False,clean,Distance to major road (proxy for slope cut)
log1p_distance_to_major_road,D_human,Derived from major road dist,data/processed/features/infrastructure/log1p_distance_to_major_road_100m.tif,unitless,float32,log1p,susceptibility_predictor,NoData=-9999,log1p(dist),False,False,False,clean,Log1p distance to major road
major_road_density_km_per_km2,D_human,Derived from major roads,data/processed/features/infrastructure/major_road_density_km_per_km2_100m.tif,km/km2,float32,moving_window_sum,susceptibility_predictor,NoData=-9999,road len / area,False,False,False,clean,Road density in 500m window
distance_to_nh44_m,D_human,Exposure GPKG NH-44,data/processed/features/infrastructure/distance_to_nh44_m_100m.tif,m,float32,distance_transform,exposure_only,NoData=-9999,none,False,False,True,exposure,Distance to NH-44 corridor (exposure)
log1p_distance_to_nh44,D_human,Derived from NH-44 dist,data/processed/features/infrastructure/log1p_distance_to_nh44_100m.tif,unitless,float32,log1p,exposure_only,NoData=-9999,log1p(dist),False,False,True,exposure,Log1p distance to NH-44 corridor
distance_to_settlement_m,D_human,Exposure GPKG Settlements,data/processed/features/exposure/distance_to_settlement_m_100m.tif,m,float32,distance_transform,exposure_only,NoData=-9999,none,False,False,True,exposure,Distance to settlement (exposure only)
settlement_density,D_human,Derived from settlements,data/processed/features/exposure/settlement_density_100m.tif,count/km2,float32,moving_window_count,exposure_only,NoData=-9999,count / area,False,False,True,exposure,Settlement density in 1000m window
distance_to_hospital_m,D_human,Exposure GPKG Hospitals,data/processed/features/exposure/distance_to_hospital_m_100m.tif,m,float32,distance_transform,exposure_only,NoData=-9999,none,False,False,True,exposure,Distance to healthcare facility (exposure)
healthcare_facility_density,D_human,Derived from hospitals,data/processed/features/exposure/healthcare_facility_density_100m.tif,count/km2,float32,moving_window_count,exposure_only,NoData=-9999,count / area,False,False,True,exposure,Healthcare facility density in 1000m window
hazard_feature_availability_count,E_quality,Derived from hazard features,data/processed/features/masks/hazard_feature_availability_count_100m.tif,count,uint8,sum,diagnostic_only,NoData=255,sum(valid_hazard),True,False,False,clean,Count of valid hazard predictor features
hazard_feature_complete_mask,E_quality,Derived from hazard count,data/processed/features/masks/hazard_feature_complete_mask_100m.tif,binary,uint8,threshold,diagnostic_only,NoData=255,count == max_hazard,True,False,False,clean,Complete mask for hazard predictors
exposure_feature_availability_count,E_quality,Derived from exposure features,data/processed/features/masks/exposure_feature_availability_count_100m.tif,count,uint8,sum,diagnostic_only,NoData=255,sum(valid_exposure),True,False,False,clean,Count of valid exposure features
exposure_feature_complete_mask,E_quality,Derived from exposure count,data/processed/features/masks/exposure_feature_complete_mask_100m.tif,binary,uint8,threshold,diagnostic_only,NoData=255,count == max_exposure,True,False,False,clean,Complete mask for exposure features
nlsm_susceptibility,benchmark,NLSM Raster,data/processed/benchmark/nlsm_susceptibility.tif,probability,float32,bilinear,validation_only,NoData=-9999,none,False,True,False,benchmark,Pre-existing NLSM susceptibility benchmark
latitude,coordinate,Grid Geometry,,degrees,float32,calculated,excluded,,lat,False,False,False,leakage_risk,Spatial coordinates strictly excluded from model
longitude,coordinate,Grid Geometry,,degrees,float32,calculated,excluded,,lon,False,False,False,leakage_risk,Spatial coordinates strictly excluded from model
