segment_id,chainage_range_m,structure_context,susceptibility_component_band,terrain_component_band,geological_component_band,surface_drainage_band,confidence_component,principal_contributing_features,human_readable_interpretation,disclaimer_notice
NH44_SEG_018,8500.0m - 9000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_019,9000.0m - 9500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_020,9500.0m - 10000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_021,10000.0m - 10500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_022,10500.0m - 11000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_023,11000.0m - 11500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_024,11500.0m - 12000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_025,12000.0m - 12500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_026,12500.0m - 13000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_027,13000.0m - 13500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_028,13500.0m - 14000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_029,14000.0m - 14500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_030,14500.0m - 15000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_031,15000.0m - 15500.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_032,15500.0m - 16000.0m,Open Road,MODERATE,MODERATE,VERY_HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_033,16000.0m - 16500.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_034,16500.0m - 17000.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_035,17000.0m - 17500.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_036,17500.0m - 18000.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_037,18000.0m - 18500.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_038,18500.0m - 19000.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_039,19000.0m - 19500.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_040,19500.0m - 20000.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_041,20000.0m - 20500.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_042,20500.0m - 21000.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_043,21000.0m - 21500.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_044,21500.0m - 22000.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_045,22000.0m - 22500.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_046,22500.0m - 23000.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_047,23000.0m - 23500.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_048,23500.0m - 24000.0m,Tunnel,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_049,24000.0m - 24500.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_050,24500.0m - 25000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_051,25000.0m - 25500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_052,25500.0m - 26000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_053,26000.0m - 26500.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_054,26500.0m - 27000.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_055,27000.0m - 27500.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_056,27500.0m - 28000.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_057,28000.0m - 28500.0m,Bridge,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_058,28500.0m - 29000.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_059,29000.0m - 29500.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_060,29500.0m - 30000.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_061,30000.0m - 30500.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_062,30500.0m - 31000.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_063,31000.0m - 31500.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_064,31500.0m - 32000.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_065,32000.0m - 32500.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_066,32500.0m - 33000.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_067,33000.0m - 33500.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_068,33500.0m - 34000.0m,Open Road,MODERATE,MODERATE,HIGH,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_069,34000.0m - 34500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_070,34500.0m - 35000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_071,35000.0m - 35500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_072,35500.0m - 36000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_073,36000.0m - 36500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_074,36500.0m - 37000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_075,37000.0m - 37500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_076,37500.0m - 38000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
