column_name,feature_family,data_type,unit,is_identifier,is_geometry_metadata,is_quality_metadata,is_unique_scientific_feature,multi_category_overlap_in_v2_3b_response,retained_in_final_table
drainage_distance_mean_m,Hydrography & Infrastructure,float64,metres,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
drainage_intersection_count,Hydrography & Infrastructure,int64,text/count,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
drainage_density_100m_m_per_sqkm,Hydrography & Infrastructure,float64,metres,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
road_distance_min_m,Hydrography & Infrastructure,float64,metres,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
road_intersection_count,Hydrography & Infrastructure,int64,text/count,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
road_density_m_per_sqkm,Hydrography & Infrastructure,float64,metres,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
road_cut_exposure_proxy,Hydrography & Infrastructure,float64,text/count,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
structure_open_road_length_m,Hydrography & Infrastructure,float64,metres,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
structure_tunnel_length_m,Highway Structure Attribution,float64,metres,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
structure_bridge_length_m,Highway Structure Attribution,float64,metres,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
structure_open_road_fraction,Hydrography & Infrastructure,float64,fraction [0-1],False,False,False,True,Overlapped domain categories in summary text (sum 67),True
structure_tunnel_fraction,Highway Structure Attribution,float64,fraction [0-1],False,False,False,True,Overlapped domain categories in summary text (sum 67),True
structure_bridge_fraction,Highway Structure Attribution,float64,fraction [0-1],False,False,False,True,Overlapped domain categories in summary text (sum 67),True
structure_dominant_type,Highway Structure Attribution,str,metres,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
structure_mixed_flag,Highway Structure Attribution,bool,metres,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
structure_boundary_crossing_flag,Highway Structure Attribution,bool,text/count,False,False,False,True,Overlapped domain categories in summary text (sum 67),True
valid_coverage_pct,Quality / Coverage Metadata,float64,percentage,False,False,True,False,Overlapped domain categories in summary text (sum 67),True
coverage_quality_flag,Quality / Coverage Metadata,str,text/count,False,False,True,False,Overlapped domain categories in summary text (sum 67),True
