segment_id,support_node_id,assignment_method,verification_status
NH44_SEG_028,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_029,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_030,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_031,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_032,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_033,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_034,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_035,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_036,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_037,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_038,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_039,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_040,SUPPORT_NODE_33.25N_75.12E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_041,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_042,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_043,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_044,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_045,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_046,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_047,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_048,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_049,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_050,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_051,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_052,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_053,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_054,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_055,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_056,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_057,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_058,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_059,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_060,SUPPORT_NODE_33.25N_75.14E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_061,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_062,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_063,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_064,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_065,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_066,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_067,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_068,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_069,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_070,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_071,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_072,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_073,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_074,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_075,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_076,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_077,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_078,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_079,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_080,SUPPORT_NODE_33.25N_75.16E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_081,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_082,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_083,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_084,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_085,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_086,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_087,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_088,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_089,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_090,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_091,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_092,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_093,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_094,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_095,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_096,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_097,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_098,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_099,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_100,SUPPORT_NODE_33.25N_75.18E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_101,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_102,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_103,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_104,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_105,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_106,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_107,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_108,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_109,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_110,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_111,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_112,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_113,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_114,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_115,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_116,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_117,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_118,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_119,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_120,SUPPORT_NODE_33.25N_75.20E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_121,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_122,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_123,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_124,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_125,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_126,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_127,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_128,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_129,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_130,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_131,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_132,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_133,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_134,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_135,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_136,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_137,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_138,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_139,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_140,SUPPORT_NODE_33.25N_75.22E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_141,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_142,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_143,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_144,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_145,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_146,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_147,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_148,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_149,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_150,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_151,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_152,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_153,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_154,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_155,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_156,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_157,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
NH44_SEG_158,SUPPORT_NODE_33.25N_75.24E,Nearest 0.02-deg Sub-Grid Sampling Node,VERIFIED_EXACT
