segment_id,segment_index,chainage_mid_m,structure_dominant_type,static_susceptibility_score_primary,static_susceptibility_score_mean,static_susceptibility_score_max,terrain_severity_score_primary,terrain_severity_score_mean,terrain_severity_score_max,geological_context_score_primary,geological_context_score_mean,geological_context_score_max,surface_drainage_score_primary,surface_drainage_score_mean,surface_drainage_score_max,road_structure_context_profile,data_confidence_score_primary,data_confidence_category,susceptibility_band,terrain_band,geology_band,surface_drainage_band,multidimensional_profile_string
NH44_SEG_001,0,250.0,Open Road,,,,,,,100.0,94.83,100.0,50.32,65.83,96.84,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_012,11,5750.0,Open Road,,,,,,,93.04,90.19,93.04,50.32,41.04,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_013,12,6250.0,Open Road,,,,,,,92.41,89.77,92.41,50.32,38.93,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_014,13,6750.0,Open Road,,,,,,,91.77,89.34,91.77,50.32,36.82,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_015,14,7250.0,Open Road,,,,,,,91.14,88.92,91.14,50.32,34.71,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_016,15,7750.0,Open Road,,,,,,,90.51,72.58,90.51,50.32,65.83,96.84,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_017,16,8250.0,Open Road,,,,,,,89.87,88.08,89.87,50.32,63.5,89.87,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_018,17,8750.0,Open Road,,,,,,,89.24,71.73,89.24,50.32,61.18,82.91,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_019,18,9250.0,Open Road,,,,,,,88.61,71.31,88.61,50.32,58.86,75.95,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_020,19,9750.0,Open Road,,,,,,,87.97,70.88,87.97,50.32,56.54,68.99,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_021,20,10250.0,Open Road,,,,,,,87.34,70.46,87.34,50.32,54.22,62.03,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_022,21,10750.0,Open Road,,,,,,,86.71,70.04,86.71,50.32,51.9,55.06,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_023,22,11250.0,Open Road,,,,,,,86.08,69.62,86.08,50.32,49.58,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_024,23,11750.0,Open Road,,,,,,,85.44,69.2,85.44,50.32,47.37,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_025,24,12250.0,Open Road,,,,,,,84.81,68.78,84.81,50.32,45.26,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_026,25,12750.0,Open Road,,,,,,,84.18,68.36,84.18,50.32,43.15,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_027,26,13250.0,Open Road,,,,,,,83.54,67.93,83.54,50.32,41.04,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_028,27,13750.0,Open Road,,,,,,,82.91,67.51,82.91,50.32,38.93,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_029,28,14250.0,Open Road,,,,,,,82.28,67.09,82.28,50.32,36.82,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_030,29,14750.0,Open Road,,,,,,,81.65,66.67,81.65,50.32,34.71,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_031,30,15250.0,Open Road,,,,,,,81.01,66.24,81.01,50.32,65.83,96.84,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_032,31,15750.0,Open Road,,,,,,,80.38,65.82,80.38,50.32,63.5,89.87,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,VERY_HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=VERY_HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_033,32,16250.0,Tunnel,,,,,,,79.75,65.4,79.75,50.32,61.18,82.91,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_034,33,16750.0,Tunnel,,,,,,,79.11,64.98,79.11,50.32,58.86,75.95,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_035,34,17250.0,Tunnel,,,,,,,78.48,64.56,78.48,50.32,56.54,68.99,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_036,35,17750.0,Tunnel,,,,,,,77.85,64.14,77.85,50.32,54.22,62.03,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_037,36,18250.0,Tunnel,,,,,,,77.22,63.72,77.22,50.32,51.9,55.06,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_038,37,18750.0,Tunnel,,,,,,,76.58,63.29,76.58,50.32,49.58,50.32,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_039,38,19250.0,Tunnel,,,,,,,75.95,62.87,75.95,50.32,47.37,50.32,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_040,39,19750.0,Tunnel,,,,,,,75.32,62.45,75.32,50.32,45.26,50.32,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_041,40,20250.0,Tunnel,,,,,,,74.68,62.02,74.68,50.32,43.15,50.32,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_042,41,20750.0,Tunnel,,,,,,,74.05,61.6,74.05,50.32,41.04,50.32,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_043,42,21250.0,Tunnel,,,,,,,73.42,61.18,73.42,50.32,38.93,50.32,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_044,43,21750.0,Tunnel,,,,,,,72.78,60.76,72.78,50.32,36.82,50.32,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_045,44,22250.0,Tunnel,,,,,,,72.15,60.34,72.15,50.32,34.71,50.32,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_046,45,22750.0,Tunnel,,,,,,,71.52,59.92,71.52,50.32,65.83,96.84,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_047,46,23250.0,Tunnel,,,,,,,70.89,75.42,84.49,50.32,63.5,89.87,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_048,47,23750.0,Tunnel,,,,,,,65.19,55.7,65.19,50.32,61.18,82.91,Tunnel,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Tunnel; Confidence=HIGH
NH44_SEG_049,48,24250.0,Open Road,,,,,,,60.76,52.74,60.76,50.32,58.86,75.95,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_050,49,24750.0,Open Road,,,,,,,57.59,50.63,57.59,50.32,56.54,68.99,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,MODERATE,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=MODERATE; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_051,50,25250.0,Open Road,,,,,,,56.33,49.79,56.33,50.32,54.22,62.03,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,MODERATE,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=MODERATE; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_052,51,25750.0,Open Road,,,,,,,58.86,51.48,58.86,50.32,51.9,55.06,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,MODERATE,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=MODERATE; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_053,52,26250.0,Open Road,,,,,,,61.39,53.16,61.39,50.32,49.58,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_054,53,26750.0,Open Road,,,,,,,64.56,55.28,64.56,50.32,47.37,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_055,54,27250.0,Open Road,,,,,,,65.82,56.12,65.82,50.32,45.26,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_056,55,27750.0,Open Road,,,,,,,63.92,54.85,63.92,50.32,43.15,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_057,56,28250.0,Bridge,,,,,,,59.49,51.9,59.49,50.32,41.04,50.32,Bridge,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,MODERATE,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=MODERATE; SurfaceDrainage=MODERATE; Structure=Bridge; Confidence=HIGH
NH44_SEG_058,57,28750.0,Open Road,,,,,,,60.13,52.32,60.13,50.32,38.93,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_059,58,29250.0,Open Road,,,,,,,62.66,69.94,84.49,50.32,36.82,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_060,59,29750.0,Open Road,,,,,,,63.29,70.36,84.49,50.32,34.71,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_061,60,30250.0,Open Road,,,,,,,67.09,72.89,84.49,50.32,65.83,96.84,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_062,61,30750.0,Open Road,,,,,,,68.35,57.8,68.35,50.32,63.5,89.87,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_063,62,31250.0,Open Road,,,,,,,69.62,58.65,69.62,50.32,61.18,82.91,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_064,63,31750.0,Open Road,,,,,,,70.25,59.07,70.25,50.32,58.86,75.95,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_065,64,32250.0,Open Road,,,,,,,68.99,58.23,68.99,50.32,56.54,68.99,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_066,65,32750.0,Open Road,,,,,,,67.72,57.38,67.72,50.32,54.22,62.03,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_067,66,33250.0,Open Road,,,,,,,66.46,56.54,66.46,50.32,51.9,55.06,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_068,67,33750.0,Open Road,,,,,,,62.03,53.59,62.03,50.32,49.58,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,HIGH,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=HIGH; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
NH44_SEG_069,68,34250.0,Open Road,,,,,,,58.23,51.06,58.23,50.32,47.37,50.32,Open Road,100.0,HIGH_CONFIDENCE (100% Valid Coverage),VERY_HIGH,VERY_HIGH,MODERATE,MODERATE,Susceptibility=VERY_HIGH; Terrain=VERY_HIGH; Geology=MODERATE; SurfaceDrainage=MODERATE; Structure=Open Road; Confidence=HIGH
