feature_name,feature_family,final_status,selected_for_component,component,exclusion_reason,correlation_cluster,mathematical_dependency,interpretation_only,confidence_only,validation_only,direction_of_concern,direction_scientifically_monotonic,source,unit
hillshade_median,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: hillshade median across 100m segment buffer.,metres
hillshade_std,Terrain,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: hillshade std across 100m segment buffer.,count / text
susceptibility_min_prob,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility min prob across 100m segment buffer.,metres
susceptibility_max_prob,Susceptibility,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility max prob across 100m segment buffer.,metres
susceptibility_mean_prob,Susceptibility,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility mean prob across 100m segment buffer.,metres
susceptibility_median_prob,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility median prob across 100m segment buffer.,metres
susceptibility_std_prob,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility std prob across 100m segment buffer.,count / text
susceptibility_p75_prob,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility p75 prob across 100m segment buffer.,count / text
susceptibility_p90_prob,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility p90 prob across 100m segment buffer.,count / text
susceptibility_p95_prob,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility p95 prob across 100m segment buffer.,count / text
susceptibility_very_low_fraction,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility very low fraction across 100m segment buffer.,fraction [0-1]
susceptibility_low_fraction,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility low fraction across 100m segment buffer.,fraction [0-1]
susceptibility_moderate_fraction,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility moderate fraction across 100m segment buffer.,fraction [0-1]
susceptibility_high_fraction,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility high fraction across 100m segment buffer.,fraction [0-1]
susceptibility_very_high_fraction,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility very high fraction across 100m segment buffer.,fraction [0-1]
susceptibility_dominant_class,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility dominant class across 100m segment buffer.,metres
susceptibility_pct_high_very_high,Susceptibility,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility pct high very high across 100m segment buffer.,percentage
susceptibility_max_contiguous_high_len_m,Susceptibility,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: susceptibility max contiguous high len m across 100m segment buffer.,metres
landcover_dominant_class,LandCover,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: landcover dominant class across 100m segment buffer.,metres
landcover_builtup_fraction,LandCover,INTERPRETATION_ONLY,False,SURFACE_DRAINAGE_DESCRIPTIVE,Minor land-cover class fraction preserved for narrative context,N/A,False,True,False,False,1,True,Extracted static geospatial metric: landcover builtup fraction across 100m segment buffer.,fraction [0-1]
landcover_cropland_fraction,LandCover,INTERPRETATION_ONLY,False,SURFACE_DRAINAGE_DESCRIPTIVE,Minor land-cover class fraction preserved for narrative context,N/A,False,True,False,False,1,True,Extracted static geospatial metric: landcover cropland fraction across 100m segment buffer.,fraction [0-1]
landcover_forest_fraction,LandCover,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,1,True,Extracted static geospatial metric: landcover forest fraction across 100m segment buffer.,fraction [0-1]
landcover_grassland_fraction,LandCover,INTERPRETATION_ONLY,False,SURFACE_DRAINAGE_DESCRIPTIVE,Minor land-cover class fraction preserved for narrative context,N/A,False,True,False,False,1,True,Extracted static geospatial metric: landcover grassland fraction across 100m segment buffer.,fraction [0-1]
landcover_bareground_fraction,LandCover,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,1,True,Extracted static geospatial metric: landcover bareground fraction across 100m segment buffer.,fraction [0-1]
landcover_water_fraction,LandCover,INTERPRETATION_ONLY,False,SURFACE_DRAINAGE_DESCRIPTIVE,Minor land-cover class fraction preserved for narrative context,N/A,False,True,False,False,1,True,Extracted static geospatial metric: landcover water fraction across 100m segment buffer.,fraction [0-1]
landcover_snow_ice_fraction,LandCover,INTERPRETATION_ONLY,False,SURFACE_DRAINAGE_DESCRIPTIVE,Minor land-cover class fraction preserved for narrative context,N/A,False,True,False,False,1,True,Extracted static geospatial metric: landcover snow ice fraction across 100m segment buffer.,fraction [0-1]
geology_dominant_lithology,Geology,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: geology dominant lithology across 100m segment buffer.,metres
geology_lithological_diversity_count,Geology,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,1,False,Extracted static geospatial metric: geology lithological diversity count across 100m segment buffer.,count / text
geology_overlap_pct,Geology,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: geology overlap pct across 100m segment buffer.,percentage
fault_distance_nearest_m,Geology,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,-1,True,Extracted static geospatial metric: fault distance nearest m across 100m segment buffer.,metres
fault_intersection_count,Geology,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: fault intersection count across 100m segment buffer.,count / text
fault_density_100m_m_per_sqkm,Geology,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: fault density 100m m per sqkm across 100m segment buffer.,metres
fault_density_250m_m_per_sqkm,Geology,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: fault density 250m m per sqkm across 100m segment buffer.,metres
fault_distance_active_m,Geology,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,-1,True,Extracted static geospatial metric: fault distance active m across 100m segment buffer.,metres
fault_active_intersection_count,Geology,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: fault active intersection count across 100m segment buffer.,count / text
drainage_distance_min_m,Identification,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,-1,True,Extracted static geospatial metric: drainage distance min m across 100m segment buffer.,metres
drainage_distance_mean_m,Identification,RETAINED_PHYSICAL_COMPONENT,True,PHYSICAL_COMPONENT,Selected primary physical condition feature,N/A,False,False,False,False,-1,True,Extracted static geospatial metric: drainage distance mean m across 100m segment buffer.,metres
drainage_intersection_count,Identification,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: drainage intersection count across 100m segment buffer.,count / text
drainage_density_100m_m_per_sqkm,Identification,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: drainage density 100m m per sqkm across 100m segment buffer.,metres
road_distance_min_m,Identification,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,-1,True,Extracted static geospatial metric: road distance min m across 100m segment buffer.,metres
road_intersection_count,Identification,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: road intersection count across 100m segment buffer.,count / text
road_density_m_per_sqkm,Identification,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: road density m per sqkm across 100m segment buffer.,metres
road_cut_exposure_proxy,Identification,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: road cut exposure proxy across 100m segment buffer.,count / text
structure_open_road_length_m,Structure,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,-1,True,Extracted static geospatial metric: structure open road length m across 100m segment buffer.,metres
structure_tunnel_length_m,Structure,RETAINED_STRUCTURE_CONTEXT,True,ROAD_STRUCTURE_CONTEXT,Selected structural context feature,N/A,False,False,False,False,1,True,Extracted static geospatial metric: structure tunnel length m across 100m segment buffer.,metres
structure_bridge_length_m,Structure,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: structure bridge length m across 100m segment buffer.,metres
structure_open_road_fraction,Structure,MATHEMATICALLY_DEPENDENT,False,ROAD_STRUCTURE_DESCRIPTIVE,Derived directly from structure length variables (sum to 1.0),N/A,True,False,False,False,-1,True,Extracted static geospatial metric: structure open road fraction across 100m segment buffer.,fraction [0-1]
structure_tunnel_fraction,Structure,MATHEMATICALLY_DEPENDENT,False,ROAD_STRUCTURE_DESCRIPTIVE,Derived directly from structure length variables (sum to 1.0),N/A,True,False,False,False,1,True,Extracted static geospatial metric: structure tunnel fraction across 100m segment buffer.,fraction [0-1]
structure_bridge_fraction,Structure,MATHEMATICALLY_DEPENDENT,False,ROAD_STRUCTURE_DESCRIPTIVE,Derived directly from structure length variables (sum to 1.0),N/A,True,False,False,False,1,True,Extracted static geospatial metric: structure bridge fraction across 100m segment buffer.,fraction [0-1]
structure_dominant_type,Structure,REDUNDANT_CORRELATED,False,EXCLUDED,High Spearman correlation (|rho| >= 0.85) with retained representative,C1-C6,False,False,False,False,1,True,Extracted static geospatial metric: structure dominant type across 100m segment buffer.,metres
structure_mixed_flag,Structure,MATHEMATICALLY_DEPENDENT,False,ROAD_STRUCTURE_DESCRIPTIVE,Derived directly from structure length variables (sum to 1.0),N/A,True,False,False,False,1,True,Extracted static geospatial metric: structure mixed flag across 100m segment buffer.,metres
structure_boundary_crossing_flag,Structure,MATHEMATICALLY_DEPENDENT,False,ROAD_STRUCTURE_DESCRIPTIVE,Derived directly from structure length variables (sum to 1.0),N/A,True,False,False,False,1,True,Extracted static geospatial metric: structure boundary crossing flag across 100m segment buffer.,count / text
