segment_id,chainage_mid_m,structure_dominant_type,consensus_median_rank,consensus_mean_rank,consensus_final_rank,consensus_percentile,consensus_priority_band,rank_iqr,rank_range,agreement_category,disclaimer_notice
NH44_SEG_052,25750.0,Open Road,66.0,66.0,66,58.86,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_053,26250.0,Open Road,62.0,62.0,62,61.39,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_054,26750.0,Open Road,57.0,57.0,57,64.56,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_055,27250.0,Open Road,55.0,55.0,55,65.82,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_056,27750.0,Open Road,58.0,58.0,58,63.92,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_057,28250.0,Bridge,65.0,65.0,65,59.49,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_058,28750.0,Open Road,64.0,64.0,64,60.13,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_059,29250.0,Open Road,60.0,60.0,60,62.66,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_060,29750.0,Open Road,59.0,59.0,59,63.29,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_061,30250.0,Open Road,53.0,53.0,53,67.09,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_062,30750.0,Open Road,51.0,51.0,51,68.35,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_063,31250.0,Open Road,49.0,49.0,49,69.62,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_064,31750.0,Open Road,48.0,48.0,48,70.25,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_065,32250.0,Open Road,50.0,50.0,50,68.99,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_066,32750.0,Open Road,52.0,52.0,52,67.72,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_067,33250.0,Open Road,54.0,54.0,54,66.46,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_068,33750.0,Open Road,61.0,61.0,61,62.03,HIGH,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_069,34250.0,Open Road,67.0,67.0,67,58.23,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_070,34750.0,Open Road,69.0,69.0,69,56.96,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_071,35250.0,Open Road,72.0,72.0,72,55.06,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_072,35750.0,Open Road,71.0,71.0,71,55.7,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_073,36250.0,Open Road,73.0,73.0,73,54.43,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_074,36750.0,Open Road,74.0,74.0,74,53.8,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_075,37250.0,Open Road,75.0,75.0,75,53.16,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_076,37750.0,Open Road,76.0,76.0,76,52.53,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_077,38250.0,Open Road,77.0,77.0,77,51.9,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_078,38750.0,Open Road,78.0,78.0,78,51.27,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_079,39250.0,Open Road,79.0,79.0,79,50.63,MODERATE,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_080,39750.0,Open Road,90.0,95.27,90,43.67,MODERATE,0.0,29,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_081,40250.0,Open Road,97.0,101.0,97,39.24,LOW,0.0,22,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_082,40750.0,Open Road,94.0,98.55,94,41.14,MODERATE,0.0,25,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_083,41250.0,Open Road,87.0,92.82,87,45.57,MODERATE,0.0,32,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_084,41750.0,Open Road,85.0,91.18,85,46.84,MODERATE,0.0,34,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_085,42250.0,Open Road,81.0,87.91,81,49.37,MODERATE,0.0,38,HIGHLY_SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_086,42750.0,Bridge,80.0,87.09,80,50.0,MODERATE,0.0,39,HIGHLY_SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_087,43250.0,Open Road,84.0,90.36,84,47.47,MODERATE,0.0,35,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_088,43750.0,Open Road,88.0,93.64,88,44.94,MODERATE,0.0,31,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_089,44250.0,Open Road,89.0,94.45,89,44.3,MODERATE,0.0,30,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_090,44750.0,Open Road,86.0,92.0,86,46.2,MODERATE,0.0,33,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_091,45250.0,Open Road,82.0,88.73,82,48.73,MODERATE,0.0,37,HIGHLY_SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_092,45750.0,Open Road,83.0,89.55,83,48.1,MODERATE,0.0,36,HIGHLY_SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_093,46250.0,Open Road,92.0,96.91,92,42.41,MODERATE,0.0,27,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_094,46750.0,Open Road,93.0,97.73,93,41.77,MODERATE,0.0,26,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_095,47250.0,Open Road,96.0,100.18,96,39.87,LOW,0.0,23,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_096,47750.0,Open Road,95.0,99.36,95,40.51,MODERATE,0.0,24,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_097,48250.0,Open Road,91.0,96.09,91,43.04,MODERATE,0.0,28,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_098,48750.0,Open Road,98.0,101.82,98,38.61,LOW,0.0,21,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_099,49250.0,Open Road,99.0,102.64,99,37.97,LOW,0.0,20,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_100,49750.0,Open Road,100.0,103.45,100,37.34,LOW,0.0,19,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_101,50250.0,Open Road,101.0,104.27,101,36.71,LOW,0.0,18,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_102,50750.0,Open Road,102.0,105.09,102,36.08,LOW,0.0,17,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_103,51250.0,Open Road,103.0,105.91,103,35.44,LOW,0.0,16,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_104,51750.0,Open Road,104.0,106.73,104,34.81,LOW,0.0,15,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_105,52250.0,Open Road,105.0,107.55,105,34.18,LOW,0.0,14,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_106,52750.0,Open Road,106.0,108.36,106,33.54,LOW,0.0,13,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_107,53250.0,Open Road,107.0,109.18,107,32.91,LOW,0.0,12,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_108,53750.0,Open Road,108.0,110.0,108,32.28,LOW,0.0,11,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_109,54250.0,Open Road,109.0,110.82,109,31.65,LOW,0.0,10,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_110,54750.0,Open Road,110.0,111.64,110,31.01,LOW,0.0,9,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_111,55250.0,Open Road,115.0,115.73,115,27.85,LOW,0.0,4,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_112,55750.0,Open Road,119.0,119.0,119,25.32,LOW,0.0,0,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_113,56250.0,Open Road,118.0,118.18,118,25.95,LOW,0.0,1,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_114,56750.0,Open Road,116.0,116.55,116,27.22,LOW,0.0,3,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_115,57250.0,Open Road,113.0,114.09,113,29.11,LOW,0.0,6,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_116,57750.0,Open Road,112.0,113.27,112,29.75,LOW,0.0,7,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_117,58250.0,Open Road,111.0,112.45,111,30.38,LOW,0.0,8,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_118,58750.0,Open Road,114.0,114.91,114,28.48,LOW,0.0,5,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_119,59250.0,Open Road,117.0,117.36,117,26.58,LOW,0.0,2,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_120,59750.0,Open Road,124.0,123.09,124,22.15,LOW,0.0,5,VERY_STABLE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_121,60250.0,Open Road,132.0,129.64,132,17.09,VERY_LOW,0.0,13,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_122,60750.0,Open Road,138.0,134.55,138,13.29,VERY_LOW,0.0,19,MODERATE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_123,61250.0,Open Road,142.0,137.82,142,10.76,VERY_LOW,0.0,23,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_124,61750.0,Open Road,144.0,139.45,144,9.49,VERY_LOW,0.0,25,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_125,62250.0,Open Road,147.0,141.91,147,7.59,VERY_LOW,0.0,28,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_126,62750.0,Open Road,148.0,142.73,148,6.96,VERY_LOW,0.0,29,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
NH44_SEG_127,63250.0,Open Road,151.0,145.18,151,5.06,VERY_LOW,0.0,32,SENSITIVE,"Consensus prioritization summarizes agreement across transparent analytical methods. It is not an operational warning, absolute risk estimate or road closure recommendation."
