feature_column,source_dataset,extraction_method,crs_processing,provenance_status
slope_std_deg,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
slope_p90_deg,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
slope_pct_above_15deg,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
slope_pct_above_25deg,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
slope_pct_above_35deg,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
aspect_circular_mean_deg,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
aspect_north_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
aspect_east_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
aspect_south_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
aspect_west_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
aspect_dominant_class,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
hillshade_mean,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
hillshade_median,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
hillshade_std,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_min_prob,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_max_prob,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_mean_prob,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_median_prob,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_std_prob,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_p75_prob,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_p90_prob,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_p95_prob,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_very_low_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_low_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_moderate_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_high_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_very_high_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_dominant_class,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_pct_high_very_high,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
susceptibility_max_contiguous_high_len_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
landcover_dominant_class,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
landcover_builtup_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
landcover_cropland_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
landcover_forest_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
landcover_grassland_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
landcover_bareground_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
landcover_water_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
landcover_snow_ice_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
geology_dominant_lithology,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
geology_lithological_diversity_count,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
geology_overlap_pct,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
fault_distance_nearest_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
fault_intersection_count,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
fault_density_100m_m_per_sqkm,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
fault_density_250m_m_per_sqkm,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
fault_distance_active_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
fault_active_intersection_count,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
drainage_distance_min_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
drainage_distance_mean_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
drainage_intersection_count,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
drainage_density_100m_m_per_sqkm,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
road_distance_min_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
road_intersection_count,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
road_density_m_per_sqkm,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
road_cut_exposure_proxy,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
structure_open_road_length_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
structure_tunnel_length_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
structure_bridge_length_m,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
structure_open_road_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
structure_tunnel_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
structure_bridge_fraction,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
structure_dominant_type,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
structure_mixed_flag,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
structure_boundary_crossing_flag,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
valid_coverage_pct,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
coverage_quality_flag,Copernicus GLO-30 / ESA WorldCover / GSI Lithology & Faults / NH-44 Authoritative 500m Segmentation,Zonal Statistics (100m bilateral corridor buffer),EPSG:32643 (UTM Zone 43N),VERIFIED SCIENTIFIC PROVENANCE
