feature_name,feature_family,scientific_definition,unit,source_dataset,extraction_buffer,expected_direction_of_concern,is_monotonic,variable_type,missing_value_meaning,zero_value_meaning,suitable_for_profile_construction,exclusion_reason,provenance_status
midpoint_longitude,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: midpoint longitude across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
midpoint_latitude,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: midpoint latitude across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
district_name,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: district name across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,categorical,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
analysis_buffer_m,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: analysis buffer m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
elevation_min_m,TERRAIN_SEVERITY,Extracted static geospatial metric: elevation min m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
elevation_max_m,TERRAIN_SEVERITY,Extracted static geospatial metric: elevation max m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
elevation_mean_m,TERRAIN_SEVERITY,Extracted static geospatial metric: elevation mean m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
elevation_median_m,TERRAIN_SEVERITY,Extracted static geospatial metric: elevation median m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
elevation_std_m,TERRAIN_SEVERITY,Extracted static geospatial metric: elevation std m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
elevation_range_m,TERRAIN_SEVERITY,Extracted static geospatial metric: elevation range m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
elevation_p90_m,TERRAIN_SEVERITY,Extracted static geospatial metric: elevation p90 m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
slope_min_deg,TERRAIN_SEVERITY,Extracted static geospatial metric: slope min deg across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
slope_max_deg,TERRAIN_SEVERITY,Extracted static geospatial metric: slope max deg across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
slope_mean_deg,TERRAIN_SEVERITY,Extracted static geospatial metric: slope mean deg across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
slope_median_deg,TERRAIN_SEVERITY,Extracted static geospatial metric: slope median deg across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
slope_std_deg,TERRAIN_SEVERITY,Extracted static geospatial metric: slope std deg across 100m segment buffer.,degrees,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
slope_p90_deg,TERRAIN_SEVERITY,Extracted static geospatial metric: slope p90 deg across 100m segment buffer.,degrees,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
slope_pct_above_15deg,TERRAIN_SEVERITY,Extracted static geospatial metric: slope pct above 15deg across 100m segment buffer.,degrees,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
slope_pct_above_25deg,TERRAIN_SEVERITY,Extracted static geospatial metric: slope pct above 25deg across 100m segment buffer.,degrees,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
slope_pct_above_35deg,TERRAIN_SEVERITY,Extracted static geospatial metric: slope pct above 35deg across 100m segment buffer.,degrees,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
aspect_circular_mean_deg,TERRAIN_SEVERITY,Extracted static geospatial metric: aspect circular mean deg across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
aspect_north_fraction,TERRAIN_SEVERITY,Extracted static geospatial metric: aspect north fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
aspect_east_fraction,TERRAIN_SEVERITY,Extracted static geospatial metric: aspect east fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
aspect_south_fraction,TERRAIN_SEVERITY,Extracted static geospatial metric: aspect south fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
aspect_west_fraction,TERRAIN_SEVERITY,Extracted static geospatial metric: aspect west fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
aspect_dominant_class,TERRAIN_SEVERITY,Extracted static geospatial metric: aspect dominant class across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
hillshade_mean,TERRAIN_SEVERITY,Extracted static geospatial metric: hillshade mean across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
hillshade_median,TERRAIN_SEVERITY,Extracted static geospatial metric: hillshade median across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
hillshade_std,TERRAIN_SEVERITY,Extracted static geospatial metric: hillshade std across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_min_prob,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility min prob across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_max_prob,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility max prob across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_mean_prob,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility mean prob across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_median_prob,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility median prob across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_std_prob,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility std prob across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_p75_prob,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility p75 prob across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_p90_prob,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility p90 prob across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_p95_prob,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility p95 prob across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_very_low_fraction,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility very low fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_low_fraction,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility low fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_moderate_fraction,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility moderate fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_high_fraction,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility high fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_very_high_fraction,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility very high fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_dominant_class,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility dominant class across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_pct_high_very_high,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility pct high very high across 100m segment buffer.,percentage,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
susceptibility_max_contiguous_high_len_m,STATIC_SUSCEPTIBILITY,Extracted static geospatial metric: susceptibility max contiguous high len m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
landcover_dominant_class,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: landcover dominant class across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,categorical,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
landcover_builtup_fraction,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: landcover builtup fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
landcover_cropland_fraction,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: landcover cropland fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
landcover_forest_fraction,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: landcover forest fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
landcover_grassland_fraction,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: landcover grassland fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
landcover_bareground_fraction,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: landcover bareground fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
landcover_water_fraction,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: landcover water fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
landcover_snow_ice_fraction,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: landcover snow ice fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
geology_dominant_lithology,GEOLOGICAL_CONTEXT,Extracted static geospatial metric: geology dominant lithology across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,categorical,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
geology_lithological_diversity_count,GEOLOGICAL_CONTEXT,Extracted static geospatial metric: geology lithological diversity count across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
geology_overlap_pct,GEOLOGICAL_CONTEXT,Extracted static geospatial metric: geology overlap pct across 100m segment buffer.,percentage,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
fault_distance_nearest_m,GEOLOGICAL_CONTEXT,Extracted static geospatial metric: fault distance nearest m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,-1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
fault_intersection_count,GEOLOGICAL_CONTEXT,Extracted static geospatial metric: fault intersection count across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
fault_density_100m_m_per_sqkm,GEOLOGICAL_CONTEXT,Extracted static geospatial metric: fault density 100m m per sqkm across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
fault_density_250m_m_per_sqkm,GEOLOGICAL_CONTEXT,Extracted static geospatial metric: fault density 250m m per sqkm across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
fault_distance_active_m,GEOLOGICAL_CONTEXT,Extracted static geospatial metric: fault distance active m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,-1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
fault_active_intersection_count,GEOLOGICAL_CONTEXT,Extracted static geospatial metric: fault active intersection count across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
drainage_distance_min_m,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: drainage distance min m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,-1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
drainage_distance_mean_m,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: drainage distance mean m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,-1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
drainage_intersection_count,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: drainage intersection count across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
drainage_density_100m_m_per_sqkm,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: drainage density 100m m per sqkm across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
road_distance_min_m,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: road distance min m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,-1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
road_intersection_count,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: road intersection count across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
road_density_m_per_sqkm,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: road density m per sqkm across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
road_cut_exposure_proxy,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: road cut exposure proxy across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
